AR16,AR9,DC05-06-2010, DC05-6-21,DC05-06-2029,SU 03-24 ,SU 03-25 ,DC 04-5-2,AM 076 ,99 RS 28,99 RS 65,DC 5-5-4 ,SJ-16 ,SJ-11 ,SJ-57,DC 5-6-28 ,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,EO1,EO3,E04,EO5,EO6,EO2,Romero2013,99RS38,99RS39,11RC20,13AP53,13AP54,99RS53,99RS55,11RC27,13AP33
542.5070079,1848.428587,1219,1127,1117,785,,1652,1061,615,1118,1130,1176.6,1186.7,1189.7,,,1157.1,,989.7,1003.1,,1236.8,1176.10,,,,1087.6,,,,2709,2167.7,661.6,705.7,,1160.9,771.5,,,858.6,528.7,1769.4,476,,945,1093,,899,,671.0,864.0,546.7,621.5,1152,1660,642.7,962.6,967.7
549.3863577,1787.41315,1233,1105,516,555,,618,1080,777,1175,1178,1178.1,1187.4,1205.4,,,1163.6,,993.3,1168.3,,1471.7,1051.30,,,,1100.4,,,,,,668.3,737.8,,1253.2,777.4,,,895.5,551.7,1792.5,821,,1029,,,,,698.6,887.2,550.0,644.0,1142,1176,678.1,966.7,981.8
550.1539967,1715.623686,1056,1341,1897,987,,1425,1074,584,1204,935,1179.1,1187.8,1211.0,,,1483.7,,1023.7,1221.2,,1345.7,1092.90,,,,1217.2,,,,,,671.3,757,,1259.7,888.1,,,897.1,554.4,1679.3,535,,532,,,,,734.5,911.3,561.6,657.1,1128,1174,774.3,994.5,983.1
564.3113282,1708.915271,455,1157,1163,1495,,1934,779,638,638,1212,1180.1,1189.9,1212.3,,,1501.8,,1031.1,1816.3,,1788,1146.70,,,,1200.3,,,,,,693,757.5,,1427.5,891.3,,,948,557.3,1894.9,420,,,,,,,808.4,927.8,563.5,673.7,1100,1166,799.0,2756,985.3
574.7990182,1700.228742,1859,1342,615,2608,,639,678,1092,484,1128,1180.3,1196.1,1217.7,,,1578.6,,995.1,1522.7,,1606,1099.40,,,,1373.3,,,,,,760.3,795.8,,1436.5,913.2,,,948.9,557.9,2687.7,1250,,,,,,,809.9,964.5,582.4,840.5,1100,1160,873.6,2750,996.6
575.6309797,1684.057335,1865,479,567,526,,1115,1093,624,1214,1088,1180.9,1198.7,1221.2,,,1644.5,,997.8,1804.5,,2047.6,1104.40,,,,1582.8,,,,,,766.2,803.6,,1735.9,923.2,,,949.3,558.7,2726.4,251,,,,,,,857.7,973.2,585.1,916.9,1088,1116,955.6,2652,2734
577.6170453,1682.866451,1040,2536,1387,1060,,2075,583,746,900,912,1182.8,1210.9,1221.6,,,1561.2,,1184.0,2760.2,,1820.3,1372.60,,,,1682.4,,,,,,777.4,818.7,,1986.3,933,,,960.8,558.7,3165.9,236,,,,,,,891.6,975.7,585.1,984.8,1078,1086,971.7,2648,2704
582.2387478,1666.735854,1057,1754,1088,656,,2034,468,1028,610,1009,1185.4,1242.6,1226.1,,,1549.8,,1122.4,,,2131.3,1545.90,,,,2022.2,,,,,,779.4,823.2,,2147.4,933.8,,,985,559.1,,1001,,,,,,,906.9,980.2,588.2,985.9,1068,1082,974.3,2606,2694
583.1365206,1660.866034,1796,1218,1339,427,,1175,788,555,1033,1158,1186.9,,1226.4,,,1682.9,,1220.1,,,1916.8,1908.40,,,,2178.4,,,,,,897.5,897.6,,2721.3,942.8,,,1050.5,559.4,,225,,,,,,,961.3,987.2,597.3,990.5,1054,1058,981.6,2516,1976
587.5670428,1655.273693,1841,596,581,534,,1476,561,581,1070,979,1187.6,,1230.9,,,1825.6,,1130.2,,,1907.6,2065.10,,,,,,,,,,905.9,900.9,,2715.7,1034.5,,,1026.6,559.5,,988,,,,,,,964.4,2772,601.9,998.5,1044,1056,981.8,2068,1806
